Time : 15-Jan-2025 11:16 Message : SwitchConfig | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | btnAddGroup_Click() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | btnAddGroup_Click() | Ended. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | btnCloseGroup_Click() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | btnCloseGroup_Click() | Ended. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | btnAddGroup_Click() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:16 Message : TrRule | btnAddGroup_Click() | Ended. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | btnCloseGroup_Click() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | btnCloseGroup_Click() | Ended. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | btnAddGroup_Click() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | btnAddGroup_Click() | Ended. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | btnCreGroup_Click() | Started. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 15-Jan-2025 11:17 Message : TrRule | btnCreGroup_Click() | Ended. | UserName : Maximus | LoginKey : 108635
Time : 15-Jan-2025 11:17 Message : TrRule | Page_Load() | Started. | UserName : Maximus | LoginKey : 108635
